Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
I would like to get a loan.	You need to answer a couple of questions first to determine available loan options for you.\n\nHow old are you?	Editorial		[]	false	[{"displayOrder":0,"qnaId":123,"displayText":"18-29"},{"displayOrder":0,"qnaId":124,"displayText":"30-49"},{"displayOrder":0,"qnaId":125,"displayText":"50+"}]	120
How to get a loan?	You need to answer a couple of questions first to determine available loan options for you.\n\nHow old are you?	Editorial		[]	false	[{"displayOrder":0,"qnaId":123,"displayText":"18-29"},{"displayOrder":0,"qnaId":124,"displayText":"30-49"},{"displayOrder":0,"qnaId":125,"displayText":"50+"}]	120
i want a loan	You need to answer a couple of questions first to determine available loan options for you.\n\nHow old are you?	Editorial		[]	false	[{"displayOrder":0,"qnaId":123,"displayText":"18-29"},{"displayOrder":0,"qnaId":124,"displayText":"30-49"},{"displayOrder":0,"qnaId":125,"displayText":"50+"}]	120
i want money	You need to answer a couple of questions first to determine available loan options for you.\n\nHow old are you?	Editorial		[]	false	[{"displayOrder":0,"qnaId":123,"displayText":"18-29"},{"displayOrder":0,"qnaId":124,"displayText":"30-49"},{"displayOrder":0,"qnaId":125,"displayText":"50+"}]	120
18-29	what for do you need the loan for?	Editorial		[]	true	[{"displayOrder":0,"qnaId":126,"displayText":"House"},{"displayOrder":0,"qnaId":127,"displayText":"Car"},{"displayOrder":0,"qnaId":128,"displayText":"Business"}]	123
30-49	what for do you need the loan for?	Editorial		[]	true	[{"displayOrder":0,"qnaId":138,"displayText":"House"},{"displayOrder":0,"qnaId":139,"displayText":"Car"},{"displayOrder":0,"qnaId":140,"displayText":"Business"}]	124
50+	what for do you need the loan for?	Editorial		[]	true	[{"displayOrder":0,"qnaId":141,"displayText":"House"},{"displayOrder":0,"qnaId":142,"displayText":"Car"},{"displayOrder":0,"qnaId":143,"displayText":"Business"}]	125
House	What is your average income per month?	Editorial		[]	true	[{"displayOrder":0,"qnaId":130,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":131,"displayText":"1300+ EUR"},{"displayOrder":0,"qnaId":129,"displayText":"<800 EUR"}]	126
Car	What is your average income per month?	Editorial		[]	true	[{"displayOrder":0,"qnaId":132,"displayText":"<800 EUR"},{"displayOrder":0,"qnaId":133,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":134,"displayText":"1300+ EUR"}]	127
Business	To start a business	Editorial		[]	true	[{"displayOrder":0,"qnaId":135,"displayText":"<800 EUR"},{"displayOrder":0,"qnaId":136,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":137,"displayText":"1300+ EUR"}]	128
<800 EUR	We have found two available lenders for your chosen options (18-29, House, <800 EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	129
800-1300 EUR	We have found two available lenders for your chosen options (18-29, House, 800-1300 EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	130
1300+ EUR	We have found two available lenders for your chosen options (18-29, House, 1300+ EUR): \n\n[Swedbank](https://www.swedbank.lv/private/credit/loans/home/homeSmall)\n\n[SEB Bank](https://www.seb.lv/krediti-un-lizings/majoklim/hipotekarais-kredits-majokla-iegadei-buvniecibai-un-remontam)\n\n	Editorial		[]	true	[]	131
<800 EUR	We have found two available options for your chosen options (18-29, Car, <800 EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	132
800-1300 EUR	We have found two available options for your chosen options (18-29, Car, 800-1300 EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	133
1300+ EUR	We have found two available options for your chosen options (18-29, Car, 1300+ EUR): \n\n[Mogo](https://www.mogo.lv/lv/auto-kredits)\n\n[Altero](https://www.altero.lv/lv/auto-lizings/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7eUieKD3E6ixyZIrzH8iD8K23K3wqdBDE4P5vZScieT0eoRJAKZ-DYaAlpeEALw_wcB)\n\n	Editorial		[]	true	[]	134
<800 EUR	We have found two available options for your chosen options (18-29, Business, <800 EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	135
800-1300 EUR	We have found two available options for your chosen options (18-29, Business, 800-1300 EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	136
1300+ EUR	We have found two available options for your chosen options (18-29, Business, 1300+ EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	137
House	What is your average income per month?	Editorial		[]	true	[{"displayOrder":0,"qnaId":154,"displayText":"<800 EUR"},{"displayOrder":0,"qnaId":155,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":161,"displayText":"1300+ EUR"}]	138
Car	What is your average income per month?	Editorial		[]	true	[{"displayOrder":0,"qnaId":152,"displayText":"<800 EUR"},{"displayOrder":0,"qnaId":153,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":160,"displayText":"1300+ EUR"}]	139
Business	What is your average income per month?	Editorial		[]	true	[{"displayOrder":0,"qnaId":150,"displayText":"<800 EUR"},{"displayOrder":0,"qnaId":151,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":159,"displayText":"1300+ EUR"}]	140
House	What is your average income per month?	Editorial		[]	true	[{"displayOrder":0,"qnaId":148,"displayText":"<800 EUR"},{"displayOrder":0,"qnaId":149,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":158,"displayText":"1300+ EUR"}]	141
Car	What is your average income per month?	Editorial		[]	true	[{"displayOrder":0,"qnaId":145,"displayText":"<800 EUR"},{"displayOrder":0,"qnaId":147,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":157,"displayText":"1300+ EUR"}]	142
Business	What is your average income per month?	Editorial		[]	true	[{"displayOrder":0,"qnaId":144,"displayText":"<800 EUR"},{"displayOrder":0,"qnaId":146,"displayText":"800-1300 EUR"},{"displayOrder":0,"qnaId":156,"displayText":"1300+ EUR"}]	143
<800 EUR	We have found two available options for your chosen options (50+, Business, <800 EUR): \n\n[Ferratum](https://www.ferratum.lv/lv/kreditlinija?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7dsI_XXkL52IOQMCs8xh-9cIubZsMBy2nU00tZPCx3pUIN3Lh5sQRkaAph6EALw_wcB)\n\n[Credit24](https://www.credit24.lv/?gclid=Cj0KCQiAiZPvBRDZARIsAORkq7crtk44XTCeej6WpXGRRPBkkMHKHH84dmdwe_o1VphzKDETqNb_IEAaAlYdEALw_wcB)\n\n	Editorial		[]	true	[]	144
